,,POTATO,CABBAGE,BEETROOT,CARROT
Ostrobramska 71,34,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,34,42.0,20.0,11.0,30.0
Sardyńska 1,34,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,34,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,34,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,34,42.0,20.0,12.0,30.0
Złota 44,35,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,35,41.0,19.0,12.0,29.0
Mińska 25A,35,41.0,19.0,13.0,30.0
Częstochowska 4/6,35,42.0,20.0,11.0,30.0
Ostrobramska 71,35,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,35,42.0,20.0,11.0,30.0
Sardyńska 1,35,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,35,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,35,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,35,42.0,20.0,12.0,30.0
Złota 44,36,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,36,41.0,19.0,12.0,29.0
Mińska 25A,36,41.0,19.0,13.0,30.0
Częstochowska 4/6,36,42.0,20.0,11.0,30.0
Ostrobramska 71,36,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,36,42.0,20.0,11.0,30.0
Sardyńska 1,36,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,36,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,36,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,36,42.0,20.0,12.0,30.0
Złota 44,37,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,37,41.0,19.0,12.0,29.0
Mińska 25A,37,41.0,19.0,13.0,30.0
Częstochowska 4/6,37,42.0,20.0,11.0,30.0
Ostrobramska 71,37,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,37,42.0,20.0,11.0,30.0
Sardyńska 1,37,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,37,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,37,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,37,42.0,20.0,12.0,30.0
Złota 44,38,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,38,41.0,19.0,12.0,29.0
Mińska 25A,38,41.0,19.0,13.0,30.0
Częstochowska 4/6,38,42.0,20.0,11.0,30.0
Ostrobramska 71,38,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,38,42.0,20.0,11.0,30.0
Sardyńska 1,38,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,38,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,38,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,38,42.0,20.0,12.0,30.0
Złota 44,39,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,39,41.0,19.0,12.0,29.0
Mińska 25A,39,41.0,19.0,13.0,30.0
Częstochowska 4/6,39,42.0,20.0,11.0,30.0
Ostrobramska 71,39,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,39,42.0,20.0,11.0,30.0
Sardyńska 1,39,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,39,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,39,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,39,42.0,20.0,12.0,30.0
Złota 44,40,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,40,41.0,19.0,12.0,29.0
Mińska 25A,40,41.0,19.0,13.0,30.0
Częstochowska 4/6,40,42.0,20.0,11.0,30.0
Ostrobramska 71,40,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,40,42.0,20.0,11.0,30.0
Sardyńska 1,40,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,40,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,40,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,40,42.0,20.0,12.0,30.0
Złota 44,41,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,41,41.0,19.0,12.0,29.0
Mińska 25A,41,41.0,19.0,13.0,30.0
Częstochowska 4/6,41,42.0,20.0,11.0,30.0
Ostrobramska 71,41,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,41,42.0,20.0,11.0,30.0
Sardyńska 1,41,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,41,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,41,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,41,42.0,20.0,12.0,30.0
Złota 44,42,41.0,19.0,12.0,30.0
